Input, Output
-2.9942670393815396, -14.436156686885946
-2.9811823102495936, -14.640957898750749
-2.960581365976649, -14.768725147596406
-2.932516288314741, -14.790182566634233
-2.8970566976247936, -14.729725285784152
-2.8543128196833183, -14.57086910759353
-2.8043486854035313, -14.316215182933806
-2.7471926029369835, -13.953121820277776
-2.6831635205385678, -13.54419003016933
-2.6123995501849673, -13.003519179025842
-2.534990422347059, -12.393489974298003
-2.451137122852548, -11.679828601925033
-2.361079176212316, -10.89927469672785
-2.2651903002386664, -10.047500782089061
-2.1634066526744076, -9.048050900087448
-2.05630807634349, -8.084955416785728
-1.944042081458004, -6.927086504987971
-1.8269326551920435, -5.805388238199129
-1.7049831118647263, -4.464891663778793
-1.5787099530873263, -3.2188964477006508
-1.448561854819849, -1.795680182476687
-1.3146052213531443, -0.3605277755650018
-1.1775812626252269, 1.0983473768460588
-1.037561892488171, 2.6856813228881187
-0.8949014764656833, 4.258057174671084
-0.7500453350324512, 5.914119694411715
-0.6033108742760648, 7.585998292018381
-0.4547445996912095, 9.37808571304382
-0.3049241010855681, 11.09901523960742
-0.15442286380946496, 12.900742706468677
-0.0035514346252720043, 14.692101544723153
0.1471189510238451, 16.493819241332304
0.2976550375207702, 18.398513621269398
0.44719138762552957, 20.148587952951573
0.5955684131100466, 22.080012940078703
0.7426961037699568, 23.915331044135065
0.8877047745259379, 25.73774565012808
1.0304470844093994, 27.594898772427676
1.1706230503376216, 29.411835994967912
1.3080412140477893, 31.264974906890686
1.4419633774179157, 32.97739558920708
1.5724147354562918, 34.82850499502473
1.6989377795805098, 36.484980687117506
1.8209139431587271, 38.187077600400315
1.9383757845721707, 39.83868804210322
2.0509190804752357, 41.4350625189791
2.15821647540868, 42.98268805911844
2.2600811044722335, 44.49224703262348
2.356251109691359, 45.93224389899332
2.446520912210928, 47.330648284689254
2.5306196107889534, 48.64234974430513
2.6083074475742603, 49.90154649554796
2.6794100743073836, 51.08194663136803
2.7437950755794986, 52.2056554227638
2.8011929642925146, 53.219782399249986
2.851568820225476, 54.20391410133986
2.8947429334139185, 55.056616159973046
2.9306280542641714, 55.873293013260486
2.9591447437291243, 56.5671351913167
2.9801975954428963, 57.202262453428055
2.993714445343959, 57.72122408502344
2.9996842863758153, 58.178041718027345
2.9980834159440874, 58.518765658738516
2.988918224894837, 58.78949213278187
2.972159882058756, 58.93905750995743
2.9478920028846836, 59.026954563600945
2.9162003473534437, 58.99957295778201
2.8771777995300565, 58.90083049096198
2.830798507592779, 58.66738727469129
2.7773380663702993, 58.405845824740666
2.7169061265313177, 57.99454314886111
2.6496026909794925, 57.53304113470334
2.57564629504396, 56.956835437941905
2.4951590569407722, 56.302636203645434
2.4082396760605427, 55.53285882639176
2.315360917688844, 54.749580749984005
2.2164618474027575, 53.76915867122776
2.1121667646318074, 52.875039481312506
2.002427860176314, 51.7059443291184
1.8877075402744272, 50.66370867416114
1.7680961760442742, 49.34069876365188
1.6442145464619404, 48.1856495649112
1.5158679137218773, 46.66931808735028
1.3837429472695737, 45.40585504046352
1.2481681350050708, 43.81506532007434
1.1095965390089868, 42.42079410388539
0.9681571968714533, 40.7217762505005
0.8241754376275159, 39.18433390840386
0.6782819181311353, 37.47524806067918
0.5307268617840447, 35.81801908418565
0.3815766981991292, 33.99099400436498
0.23168210335616696, 32.33503860815095
0.08092987901662188, 30.391814033579312
-0.06977913462169426, 28.744909665314214
-0.22051962364985403, 26.728391552076047
-0.37046924283874616, 25.081729277560676
-0.519451128411522, 23.068538724403805
-0.6671140552045965, 21.35512915417781
-0.8131334916378783, 19.37683751728114
-0.9570975554133252, 17.64048203314183
-1.098586038337142, 15.72604430611047
-1.2373623650062218, 13.967363661448926
-1.3730683785808178, 12.110350534688036
-1.5052234986829425, 10.405454296891286

